Source,Edge,Target
Person1,Owns,Manager1
Manager1,FunctionOf,GA
Person1,AccountableFor,Increase Sales1
Person1,ResponsibleFor,Better Customer Ratings1
Person1,Attends,Quarterly Strategy1
Person1,MemberOf,Innovation1
Person1,ParticipatesIn,Financial Reporting1
Person1,Follows,Budget Approval1
Person1,Maintains,Budget Approval1
Person1,InterfacesWith,HRIS1
Person1,InteractsWith,Clients1
Person1,ContributesTo,Increase Sales1
Person1,Requires,Teamwork
Person1,MentoredBy,Representative38
Person1,ReportsTo,Representative10
Person1,Has,Problem Solving
Risk Assessment1,ProcessOf,Marketing Campaign1
Enhance Customer Satisfaction1,Supports,Enhance Customer Satisfaction36
Increased Productivity1,Enables,Innovate Products1
Marketing Campaign1,Sub,Customer Onboarding46
Partners1,BelongsTo,Regulators17
Director1,CoachedBy,Manager44
Person2,Owns,Representative2
Representative2,FunctionOf,SALES
Person2,AccountableFor,Improve Efficiency2
Person2,ResponsibleFor,New Product Launch2
Person2,Attends,Annual Conference2
Person2,MemberOf,Development2
Person2,ParticipatesIn,Marketing Campaign2
Person2,Follows,Risk Assessment2
Person2,Maintains,Performance Evaluation2
Person2,InterfacesWith,ERP2
Person2,InteractsWith,Regulators2
Person2,ContributesTo,Reduce Costs2
Person2,Requires,Programming
Person2,MentoredBy,Specialist25
Person2,ReportsTo,Manager47
Person2,Has,Problem Solving
Quality Assurance2,ProcessOf,Supply Chain2
Reduce Costs2,Supports,Increase Sales9
Higher Revenue2,Enables,Improve Efficiency2
Customer Onboarding2,Sub,Customer Onboarding29
Regulators2,BelongsTo,Partners32
Representative2,CoachedBy,Representative7
Person3,Owns,Representative3
Representative3,FunctionOf,GA
Person3,AccountableFor,Innovate Products3
Person3,ResponsibleFor,Higher Revenue3
Person3,Attends,Monthly Planning3
Person3,MemberOf,Leadership3
Person3,ParticipatesIn,Customer Onboarding3
Person3,Follows,Performance Evaluation3
Person3,Maintains,Budget Approval3
Person3,InterfacesWith,HRIS3
Person3,InteractsWith,Clients3
Person3,ContributesTo,Reduce Costs3
Person3,Requires,Leadership
Person3,MentoredBy,Director49
Person3,ReportsTo,Manager35
Person3,Has,Communication
